IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS
149.171.126.0,62073,59.166.0.5,56082,6,0,9672,416,11,8,25,15
149.171.126.2,32284,59.166.0.5,1526,6,0,1776,104,6,2,25,0
149.171.126.0,21,59.166.0.1,21971,6,1,1842,1236,26,22,25,1111
59.166.0.1,23800,149.171.126.0,46893,6,0,528,8824,10,12,27,124
59.166.0.5,63062,149.171.126.2,21,6,1,1786,2340,32,34,25,1459
59.166.0.5,57349,149.171.126.1,53,17,5,146,178,2,2,0,1
59.166.0.3,41660,149.171.126.7,80,6,7,690,1272,4,8,25,5
59.166.0.5,29259,149.171.126.0,25,6,3,37914,3380,54,42,27,22
59.166.0.6,1813,149.171.126.1,53,17,5,130,162,2,2,0,1
59.166.0.2,20139,149.171.126.7,80,6,7,690,1272,4,8,25,2
59.166.0.6,54026,149.171.126.5,53,17,5,146,178,2,2,0,1
59.166.0.6,48622,149.171.126.3,143,6,4,7818,15800,122,126,27,1179
59.166.0.6,1888,149.171.126.9,80,6,7,17538,1087890,328,746,27,1139
59.166.0.6,33204,149.171.126.7,53,17,5,130,162,2,2,0,0
59.166.0.7,49223,149.171.126.3,5190,6,0,1958,2308,22,24,27,7
59.166.0.0,15525,149.171.126.1,80,6,7,690,1272,4,8,25,2
59.166.0.7,4507,149.171.126.7,22,6,92,3728,5474,32,24,27,6
59.166.0.7,6616,149.171.126.9,53,17,5,146,178,2,2,0,1
59.166.0.3,39872,149.171.126.5,5190,6,0,1920,4312,22,24,27,7
59.166.0.1,60550,149.171.126.0,34044,6,0,8928,320,14,6,27,423
59.166.0.5,20850,149.171.126.2,60046,6,0,424,8824,8,12,27,456
59.166.0.1,14055,149.171.126.1,26175,17,11,544,304,4,4,0,1
59.166.0.1,12607,149.171.126.1,111,17,11,568,304,4,4,0,4
59.166.0.1,34713,149.171.126.1,35373,6,11,3936,2456,18,18,27,4
59.166.0.7,8379,149.171.126.0,25,6,3,37152,3380,52,42,27,362
59.166.0.7,34880,149.171.126.8,15052,6,36,2230,13500,34,36,27,11
59.166.0.7,34418,149.171.126.6,40633,6,36,4862,75600,84,86,27,45
59.166.0.5,21743,149.171.126.2,53706,6,0,8928,424,14,8,27,47
59.166.0.0,17689,149.171.126.3,53,17,5,146,178,2,2,0,1
175.45.176.1,43025,149.171.126.16,25,6,3,41290,2080,48,24,27,803
59.166.0.2,62984,149.171.126.1,5190,6,0,1958,2308,22,24,27,139
59.166.0.7,39068,149.171.126.7,22,6,92,12752,13202,128,124,27,582
59.166.0.6,46369,149.171.126.3,143,6,4,7814,14990,122,126,27,1438
59.166.0.0,19357,149.171.126.3,80,6,7,1580,10168,12,18,27,1005
59.166.0.7,17781,149.171.126.0,53,17,5,146,178,2,2,0,1
59.166.0.6,1397,149.171.126.8,53,17,5,146,178,2,2,0,1
59.166.0.7,1139,149.171.126.8,25,6,3,37152,3172,52,38,27,177
59.166.0.5,24796,149.171.126.5,34203,17,11,544,304,4,4,0,1
59.166.0.5,59169,149.171.126.5,111,17,11,568,304,4,4,0,4
